,Average AUC,Average CA,Average AUC Features,DT AUC,DT CA,DT AUC Features,RFW AUC,RFW CA,RFW AUC Features
75,0.9423076923076924,0.6666666666666666,"nof_OH, nof_COOH, nof_SO3H, nof_negCharge, nof_posCharge, nof_HBA, molLogP",0.9230769230769232,0.525,"nof_NH2, nof_SH, nof_PO4, negCharge/Volume, posCharge/Volume, nof_HBA, molLogS",1.0,0.8083333333333332,"nof_COOH, nof_PO4, posCharge/Volume, nof_HBD, nof_HBA, nof_Chirals, molLogP"
,Average AUC,Average CA,Average AUC Features,DT AUC,DT CA,DT AUC Features,RFW AUC,RFW CA,RFW AUC Features
126,0.9230769230769232,0.7729166666666667,"negCharge/Volume, nof_negCharge, nof_posCharge, nof_Chirals, PSA/Area, molArea, molLogP",0.9230769230769232,0.825,"nof_COOH, nof_SH, C_sp3, a_heavy, nof_negCharge, nof_posCharge, molLogP",1.0,0.7208333333333333,"nof_COOH, nof_SO3H, negCharge/Volume, nof_negCharge, nof_HBD, nof_HBA, molLogP"
142,0.9230769230769232,0.7395833333333333,"nof_PO4, negCharge/Volume, C_R1, a_heavy, nof_negCharge, nof_posCharge, nof_HBA",0.9230769230769232,0.7916666666666667,"nof_COOH, nof_SH, nof_SO3H, C_sp3, a_heavy, nof_negCharge, nof_Chirals",1.0,0.6874999999999999,"nof_COOH, nof_SO3H, nof_RotB, nof_negCharge, nof_posCharge, nof_HBA, molArea"
32,0.9423076923076924,0.7166666666666667,"nof_COOH, nof_SO3H, negCharge/Volume, C_R1, nof_HBA, PSA/Area, molLogP",0.9230769230769232,0.7916666666666667,"nof_SO3H, nof_PO4, C_sp3, a_heavy, nof_negCharge, nof_Chirals, molLogP",1.0,0.6416666666666666,"nof_NH2, nof_SH, nof_PO4, negCharge/Volume, nof_negCharge, nof_HBA, PSA/Area"
53,0.9423076923076924,0.7291666666666666,"nof_COOH, nof_NH2, nof_SO3H, nof_negCharge, nof_posCharge, nof_HBA, molLogP",0.9230769230769232,0.775,"nof_SH, nof_SO3H, C_sp3, a_heavy, nof_negCharge, nof_posCharge, nof_Chirals",1.0,0.6833333333333332,"nof_COOH, negCharge/Volume, posCharge/Volume, nof_negCharge, nof_HBA, nof_Chirals, molLogP"
273,0.9230769230769232,0.7375,"nof_COOH, nof_PO4, a_heavy, nof_negCharge, nof_Rings, nof_HBD, nof_HBA",0.9230769230769232,0.7666666666666667,"nof_acetyl, nof_SH, nof_SO3H, C_sp3, a_heavy, nof_negCharge, nof_Chirals",1.0,0.7083333333333333,"nof_COOH, nof_SH, nof_SO3H, nof_PO4, negCharge/Volume, nof_HBA, PSA/Area"
160,0.9230769230769232,0.7416666666666667,"nof_SO3H, nof_PO4, negCharge/Volume, posCharge/Volume, C_R1, nof_HBA, molLogS",0.9230769230769232,0.7666666666666666,"nof_COOH, nof_NH2, nof_PO4, C_sp3, a_heavy, nof_negCharge, nof_Chirals",1.0,0.7166666666666667,"nof_COOH, nof_SO3H, nof_PO4, posCharge/Volume, C_R1, nof_HBA, molLogP"
112,0.9423076923076924,0.8166666666666667,"nof_acetyl, nof_COOH, nof_NH2, nof_SH, nof_negCharge, nof_HBA, molLogP",0.9230769230769232,0.7625,"nof_COOH, nof_SO3H, C_sp3, a_heavy, nof_negCharge, nof_posCharge, nof_Chirals",1.0,0.8708333333333333,"nof_COOH, nof_SO3H, posCharge/Volume, nof_negCharge, nof_HBA, molArea, molLogP"
253,0.9230769230769232,0.7166666666666666,"nof_COOH, negCharge/Volume, a_heavy, nof_posCharge, PSA/Area, molArea, molLogP",0.9230769230769232,0.7583333333333333,"nof_acetyl, nof_RotB, negCharge/Volume, C_R1, nof_HBA, nof_Chirals, molLogP",1.0,0.6749999999999999,"nof_COOH, nof_SH, nof_SO3H, negCharge/Volume, nof_posCharge, nof_HBA, molLogP"
