|   nof_acetyl  |     nof_OH    |    nof_COOH   |    nof_NH2    |     nof_SH    |    nof_SO3H   |    nof_PO4    | nof_Fragments |    nof_RotB   |negCharge/Volume|posCharge/Volume|     C_sp3     |      C_R1     |    a_heavy    | nof_negCharge | nof_posCharge |   nof_Rings   |    nof_HBD    |    nof_HBA    |  nof_Chirals  |   nof_Atoms   |    PSA/Area   |    molArea    |    molLogS    |    molLogP    |
|      0.0      |      0.0      |      1.0      |      1.0      |      0.0      |      0.0      |      0.0      |      32.0     |      5.0      |      0.0      |      0.0      |      1.0      |      0.0      |      21.0     |      -1.0     |      0.0      |      2.0      |      4.0      |      9.0      |      0.0      |      32.0     |  0.328758054  |    293.636    |    -3.58297   |    1.56879    |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      41.0     |      5.0      |      0.0      |      0.0      |      3.0      |      0.0      |      25.0     |      -1.0     |      0.0      |      3.0      |      1.0      |      6.0      |      0.0      |      41.0     |  0.141466232  |    362.671    |    -5.88537   |    3.94696    |
|      1.0      |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      22.0     |      2.0      |  0.022581621  |      0.0      |      2.0      |      2.0      |      14.0     |      0.0      |      0.0      |      1.0      |      2.0      |      10.0     |      0.0      |      22.0     |  0.411760385  |    215.095    |    -1.57015   |    -0.63179   |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      41.0     |      5.0      |  0.057295591  |  0.014323898  |      7.0      |      4.0      |      23.0     |      -1.0     |      0.0      |      3.0      |      2.0      |      8.0      |      3.0      |      41.0     |  0.200964328  |    347.392    |    -2.61468   |    2.54711    |
|      0.0      |      0.0      |      1.0      |      1.0      |      0.0      |      0.0      |      0.0      |      41.0     |      5.0      |  0.055135484  |  0.011027097  |      5.0      |      5.0      |      24.0     |      -1.0     |      0.0      |      3.0      |      4.0      |      9.0      |      3.0      |      41.0     |  0.261041163  |     347.4     |    -3.36359   |   -0.968932   |
|      0.0      |      2.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      56.0     |      8.0      |      0.0      |      0.0      |      7.0      |      0.0      |      30.0     |      -1.0     |      0.0      |      3.0      |      3.0      |      5.0      |      2.0      |      56.0     |  0.142712103  |    445.986    |    -5.69053   |    4.59879    |
|      0.0      |      0.0      |      1.0      |      1.0      |      0.0      |      0.0      |      0.0      |      38.0     |      6.0      |  0.042413138  |  0.008482628  |      4.0      |      5.0      |      25.0     |      -1.0     |      0.0      |      3.0      |      4.0      |      11.0     |      2.0      |      38.0     |  0.338576684  |    348.187    |    -3.75558   |    0.114936   |
|      0.0      |      2.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      80.0     |      10.0     |  0.051814143  |      0.0      |      12.0     |      8.0      |      44.0     |      -2.0     |      0.0      |      4.0      |      6.0      |      14.0     |      4.0      |      80.0     |  0.243878091  |    633.095    |    -6.47166   |    2.49889    |
|      0.0      |      0.0      |      1.0      |      1.0      |      0.0      |      0.0      |      0.0      |      45.0     |      8.0      |      0.0      |      0.0      |      4.0      |      0.0      |      25.0     |      -1.0     |      0.0      |      2.0      |      4.0      |      9.0      |      0.0      |      45.0     |  0.254644677  |    376.291    |    -4.18936   |    2.93964    |
|      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      33.0     |      8.0      |      0.0      |      0.0      |      5.0      |      0.0      |      17.0     |      0.0      |      0.0      |      1.0      |      3.0      |      4.0      |      0.0      |      33.0     |  0.246665471  |    289.906    |    -2.50416   |    0.328501   |
|      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      43.0     |      5.0      |  0.087628851  |      0.0      |      5.0      |      3.0      |      23.0     |      -1.0     |      0.0      |      3.0      |      0.0      |      4.0      |      0.0      |      43.0     |   0.09936899  |    344.527    |    -3.69545   |    3.99071    |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      43.0     |      6.0      |  0.026885009  |      0.0      |      7.0      |      2.0      |      23.0     |      -1.0     |      0.0      |      2.0      |      2.0      |      8.0      |      0.0      |      43.0     |  0.215329952  |    345.474    |    -3.43291   |    2.09457    |
|      0.0      |      0.0      |      2.0      |      1.0      |      0.0      |      0.0      |      0.0      |      50.0     |      12.0     |  0.029832046  |      0.0      |      11.0     |      3.0      |      24.0     |      -3.0     |      1.0      |      1.0      |      5.0      |      10.0     |      2.0      |      50.0     |    0.252615   |    398.088    |    -4.53057   |    0.184695   |
|      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      53.0     |      8.0      |      0.0      |      0.0      |      6.0      |      0.0      |      30.0     |      -1.0     |      0.0      |      4.0      |      2.0      |      5.0      |      0.0      |      53.0     |  0.175529489  |    448.687    |    -6.44764   |     4.8734    |
|      0.0      |      0.0      |      1.0      |      1.0      |      0.0      |      0.0      |      0.0      |      38.0     |      5.0      |  0.055135484  |  0.011027097  |      4.0      |      5.0      |      24.0     |      -1.0     |      0.0      |      3.0      |      4.0      |      9.0      |      3.0      |      0.0      |  0.265552653  |    341.498    |    -3.98501   |    -1.06422   |
|      0.0      |      0.0      |      2.0      |      2.0      |      0.0      |      0.0      |      0.0      |      55.0     |      10.0     |      0.0      |      0.0      |      5.0      |      0.0      |      33.0     |      -2.0     |      0.0      |      3.0      |      7.0      |      12.0     |      1.0      |      55.0     |  0.370770166  |    442.541    |    -4.67831   |   -0.189174   |
