SLC,molVolume,molLogP,molLogS,molPSA,PSA/Area,nof_HBA,nof_HBD,molCharge_total,nof_Rings,Complexity,nof_posCharge,nof_negCharge,C_R2,C_R1,C_R0,C_sp3,posCharge/Volume,negCharge/Volume,nof_PO4,nof_SO3H,nof_SH,nof_NH2,nof_COOH,nof_OH,nof_acetyl
OAT3,262.411,-0.770947,1.38878,76.4709,0.258405253,10,1,-1,0,315,1,-2,0,0,11,8,0.003810816,-0.007621632,0,0,0,0,2,0,0
OAT3,135.026,-0.325057,0.326269,32.5914,0.205280761,4,1,0,1,124,1,-1,0,4,2,5,0.007405981,-0.007405981,0,0,0,0,1,0,0
OAT3,85.2873,-0.962452,0.745966,57.2776,0.537762297,6,2,-3,0,83.1,0,-3,0,0,3,1,0,-0.035175225,0,0,0,0,2,0,0
OAT3,126.862,1.83515,-1.44087,28.8938,0.173892476,3,1,-1,0,68.9,0,-1,0,0,6,5,0,-0.007882581,0,0,0,0,1,0,0
OAT3,440.151,4.86794,-4.95279,60.2802,0.133640016,5,3,-1,4,605,0,-1,6,11,7,23,0,-0.002271948,0,0,0,0,1,2,0
OAT3,175.244,1.39755,-0.900814,57.2776,0.269958336,6,2,-2,0,135,0,-2,0,0,8,6,0,-0.011412659,0,0,0,0,2,0,0
OAT3,270.113,5.69066,-4.81786,28.8938,0.085712082,3,1,-1,0,155,0,-1,0,0,14,13,0,-0.003702154,0,0,0,0,1,0,0
OAT3,235.798,-2.73949,-1.0644,105.874,0.469899517,8,5,0,2,382,0,0,0,8,1,5,0,0,0,0,0,0,0,3,0
OAT3,134.083,-3.22651,-0.480946,91.6663,0.52850356,10,4,-1,0,229,1,-2,0,0,3,2,0.007458067,-0.014916134,0,1,0,1,1,0,0
OAT3,155.944,-3.77158,-0.125495,109.24,0.554509322,8,6,-1,0,170,0,-1,0,0,6,5,0,-0.006412558,0,0,0,0,1,5,0
OAT3,127.871,-2.10407,-0.400361,58.9512,0.410095304,5,3,0,1,155,0,0,0,5,0,3,0,0,0,0,0,1,0,0,0
OAT3,175.2,-1.36345,0.0726721,74.288,0.35885149,6,4,0,0,170,1,-1,0,0,7,5,0.005707763,-0.005707763,0,0,0,1,1,0,1
OAT3,137.066,0.442696,-1.45817,50.4158,0.348669041,4,2,-1,1,156,0,-1,0,0,3,0,0,-0.007295755,0,0,0,0,1,0,0
OAT3,179.591,0.744114,-1.29562,52.8542,0.241264059,5,2,-1,0,179,0,-1,0,0,8,6,0,-0.005568208,0,0,0,0,1,0,1
OAT3,297.384,-3.54785,-1.49039,126.877,0.368666661,12,6,-1,0,403,1,-2,0,0,11,7,0.003362656,-0.006725311,0,0,0,1,2,0,0
OAT3,177.668,-4.29459,0.245926,111.194,0.508331695,8,6,0,0,183,0,0,0,0,7,6,0,0,0,0,0,0,0,6,0
OAT3,441.708,7.40173,-5.52941,28.8938,0.063253042,3,1,-1,0,425,0,-1,0,0,22,11,0,-0.002263939,0,0,0,0,1,0,0
OAT3,535.892,1.71384,-4.2386,114.885,0.209290505,10,5,-1,4,891,0,-1,6,11,9,25,0,-0.001866048,0,1,0,0,0,3,0
OAT3,527.599,2.74285,-4.85051,99.2687,0.182776576,9,4,-1,4,858,0,-1,6,11,9,25,0,-0.001895379,0,1,0,0,0,2,0
OAT3,531.364,1.82002,-4.76657,114.672,0.205593067,10,5,-1,4,891,0,-1,6,11,9,25,0,-0.001881949,0,1,0,0,0,3,0
OAT3,527.21,2.74285,-4.83455,99.2687,0.181298455,9,4,-1,4,858,0,-1,6,11,9,25,0,-0.001896777,0,1,0,0,0,2,0
OAT3,529.604,2.75497,-4.6098,99.2687,0.18423351,9,4,-1,4,858,0,-1,6,11,9,25,0,-0.001888203,0,1,0,0,0,2,0
OAT3,527.21,2.74285,-4.83455,99.2687,0.181298455,9,4,-1,4,858,0,-1,6,11,9,25,0,-0.001896777,0,1,0,0,0,2,0
OAT3,279.246,-3.63953,0.648266,141.996,0.458366555,11,7,-1,1,403,0,-1,0,5,6,9,0,-0.003581072,0,0,0,0,1,5,1
OAT3,407.91,-3.45149,-2.72145,156.172,0.371422456,14,6,0,3,844,0,0,2,2,7,7,0,0,1,0,0,0,0,3,0
