|  Sub Pathway  | Super Pathway |   nof_acetyl  |     nof_OH    |    nof_COOH   |    nof_NH2    |     nof_SH    |    nof_SO3H   |    nof_PO4    | nof_Fragments |negCharge/Volume|posCharge/Volume|      C_R0     |      C_R1     | nof_negCharge | nof_posCharge |   Complexity  |   nof_Rings   |molCharge_total|  nof_Chirals  |    PSA/Area   |     molPSA    |    molLogS    |    molLogP    |   molWeight   |
|       0       |       0       |      0.0      |      1.0      |      2.0      |      1.0      |      0.0      |      0.0      |      0.0      |      33.0     |  -0.008818342 |  0.004409171  |      9.0      |      0.0      |      -2.0     |      1.0      |     306.0     |      0.0      |      -1.0     |      3.0      |  0.442185491  |    117.949    |    0.165885   |    -3.41495   |    248.101    |
|       0       |       0       |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      19.0     |  -0.007523039 |      0.0      |      6.0      |      0.0      |      -1.0     |      0.0      |     128.0     |      0.0      |      -1.0     |      1.0      |  0.267039984  |    42.6567    |    -1.31136   |    0.801529   |    130.063    |
|       0       |       0       |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      19.0     |  -0.007643215 |      0.0      |      6.0      |      0.0      |      -1.0     |      0.0      |     126.0     |      0.0      |      -1.0     |      0.0      |  0.255647714  |     42.165    |    -1.13837   |    0.807245   |    130.063    |
|       0       |       0       |      0.0      |      1.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      15.0     |  -0.010394632 |      0.0      |      4.0      |      0.0      |      -1.0     |      0.0      |      69.3     |      0.0      |      -1.0     |      1.0      |   0.35979819  |    46.0333    |    0.263635   |   -0.455608   |    104.047    |
|       0       |       0       |      0.0      |      1.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      15.0     |  -0.010462298 |      0.0      |      4.0      |      0.0      |      -1.0     |      0.0      |      69.3     |      0.0      |      -1.0     |      1.0      |  0.353969418  |    45.3718    |    0.768672   |   -0.301796   |    104.047    |
|       0       |       0       |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      21.0     |  -0.00612085  |      0.0      |      3.0      |      0.0      |      -1.0     |      0.0      |     204.0     |      1.0      |      -1.0     |      0.0      |   0.31437469  |    59.5105    |    -1.21554   |    0.759085   |    180.042    |
|       0       |       0       |      0.0      |      0.0      |      1.0      |      1.0      |      0.0      |      0.0      |      0.0      |      20.0     |  -0.007392404 |  0.007392404  |      5.0      |      0.0      |      -1.0     |      1.0      |      97.0     |      0.0      |      0.0      |      1.0      |  0.283787502  |    49.7068    |   -0.975255   |    -1.27443   |    149.051    |
|       0       |       0       |      0.0      |      3.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      33.0     |      0.0      |      0.0      |      2.0      |      8.0      |      0.0      |      0.0      |     422.0     |      2.0      |      0.0      |      4.0      |  0.387759446  |    102.023    |    -1.67721   |    -2.68489   |    257.101    |
|       0       |       0       |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      27.0     |  -0.005387931 |      0.0      |      8.0      |      0.0      |      -1.0     |      0.0      |     156.0     |      0.0      |      -1.0     |      0.0      |  0.231932287  |    53.3653    |    -1.80685   |    0.94194    |    173.105    |
|       0       |       0       |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      22.0     |  -0.005700052 |      0.0      |      7.0      |      0.0      |      -1.0     |      0.0      |     192.0     |      0.0      |      -1.0     |      0.0      |   0.27296689  |    53.3653    |     -1.627    |    0.405678   |    157.074    |
