SLC,molWeight,molLogP,molLogS,molPSA,molArea,nof_Atoms,nof_Chirals,nof_HBA,nof_HBD,molCharge_total,nof_Rings,Complexity,nof_posCharge,nof_negCharge,a_heavy,C_R1,C_R0,C_sp3,posCharge/Volume,negCharge/Volume,nof_RotB,nof_Fragments,nof_NH2,nof_COOH,nof_OH
OAT1,427.366,7.37767,-5.35183,48.087,591.059,79,1,7,0,0,0,426,1,-1,30,0,25,23,0.001992675,-0.001992675,22,79,0,1,0
OAT1,366.143,-2.98461,-2.33477,131.563,362.593,48,6,9,8,0,3,508,1,-1,26,5,4,8,0.003082681,-0.003082681,5,48,1,1,4
OAT1,717.567,13.1417,-10.3846,74.7928,976.753,129,1,9,0,0,0,794,1,-1,49,0,40,37,0.00121077,-0.00121077,39,129,0,0,0
OAT1,477.286,3.585,-4.50425,103.881,589.693,76,1,10,4,0,0,555,1,-1,32,0,23,18,0.001941695,-0.001941695,23,76,1,0,1
OAT1,248.101,-3.41495,0.165885,117.949,266.741,33,3,10,6,-1,0,306,1,-2,17,0,9,6,0.004409171,-0.008818342,8,33,1,2,1
OAT1,130.063,0.801529,-1.31136,42.6567,159.739,19,1,5,1,-1,0,128,0,-1,9,0,6,4,0,-0.007523039,3,19,0,1,0
OAT1,130.063,0.807245,-1.13837,42.165,164.934,19,0,5,1,-1,0,126,0,-1,9,0,6,4,0,-0.007643215,3,19,0,1,0
OAT1,104.047,-0.455608,0.263635,46.0333,127.942,15,1,4,2,-1,0,69.3,0,-1,7,0,4,3,0,-0.010394632,2,15,0,1,1
OAT1,104.047,-0.301796,0.768672,45.3718,128.18,15,1,4,2,-1,0,69.3,0,-1,7,0,4,3,0,-0.010462298,2,15,0,1,1
OAT1,180.042,0.759085,-1.21554,59.5105,189.298,21,0,6,2,-1,1,204,0,-1,13,0,3,1,0,-0.00612085,3,21,0,1,0
OAT1,149.051,-1.27443,-0.975255,49.7068,175.155,20,1,5,3,0,0,97,1,-1,9,0,5,4,0.007392404,-0.007392404,4,20,1,1,0
OAT1,257.101,-2.68489,-1.67721,102.023,263.109,33,4,7,5,0,2,422,0,0,18,8,2,6,0,0,2,33,1,0,3
OAT1,173.105,0.94194,-1.80685,53.3653,230.09,27,0,5,2,-1,0,156,0,-1,12,0,8,6,0,-0.005387931,7,27,0,1,0
OAT1,157.074,0.405678,-1.627,53.3653,195.501,22,0,5,2,-1,0,192,0,-1,11,0,7,3,0,-0.005700052,4,22,0,1,0
OAT1,89.0239,-0.699103,0.741963,45.5494,108.173,11,0,5,1,-1,0,44.5,0,-1,6,0,3,2,0,-0.012148129,2,11,0,1,0
OAT1,181.05,0.637831,-1.16896,62.4157,193.034,22,1,6,2,-1,1,167,0,-1,13,0,3,2,0,-0.006208982,3,22,0,1,0
OAT1,117.055,0.346125,0.219356,45.5133,148.972,17,1,5,1,-1,0,74.2,0,-1,8,0,5,4,0,-0.008732633,3,17,0,1,0
OAT3,146.118,0.199977,1.55167,28.4614,203.432,26,0,3,1,0,0,115,1,-1,10,0,7,6,0.006079471,-0.006079471,4,26,0,1,0
OAT3,175.063,1.6207,-2.2539,38.493,189.109,22,0,3,2,-1,2,205,0,-1,13,0,2,1,0,-0.00600168,2,22,0,1,0
OAT3,75.0684,0.059772,0.947453,15.2007,119.838,14,0,1,0,0,0,28.4,1,-1,5,0,3,3,0.011667019,-0.011667019,0,14,0,0,0
OAT3,166.063,0.825752,-1.31257,44.7987,185.888,22,1,4,2,-1,1,150,0,-1,12,0,3,2,0,-0.006664845,3,22,0,1,1
OAT3,176.095,0.953595,-2.64922,48.8818,199.404,25,0,2,4,1,2,174,1,0,13,0,2,2,0.005728394,0,2,25,1,0,0
OAT3,182.079,-3.59888,0.297241,98.414,201.163,26,4,6,6,0,0,105,0,0,12,0,6,6,0,0,5,26,0,0,6
